Hand,Bet Side,Bet Amount,Outcome,Result,Balance,Sequence Step
1,Player,5,Banker,Loss,495.0,1
2,Banker,10,Banker,Win,504.5,2
3,Player,5,Player,Win,509.5,1
4,Player,5,Player,Win,514.5,1
5,Player,5,Player,Win,519.5,1
6,Player,5,Player,Win,524.5,1
7,Player,5,Banker,Loss,519.5,1
8,Banker,10,Banker,Win,529.0,2
9,Player,5,Player,Win,534.0,1
10,Player,5,Player,Win,539.0,1
11,Player,5,Player,Win,544.0,1
12,Player,5,Banker,Loss,539.0,1
13,Banker,10,Banker,Win,548.5,2
14,Player,5,Player,Win,553.5,1
15,Player,5,Banker,Loss,548.5,1
16,Banker,10,Tie,Push,548.5,2
17,Banker,10,Banker,Win,558.0,2
18,Player,5,Banker,Loss,553.0,1
19,Banker,10,Player,Loss,543.0,2
20,Player,20,Player,Win,563.0,3
21,Player,5,Banker,Loss,558.0,1
22,Banker,10,Banker,Win,567.5,2
23,Player,5,Tie,Push,567.5,1
24,Player,5,Player,Win,572.5,1
25,Player,5,Banker,Loss,567.5,1
26,Banker,10,Banker,Win,577.0,2
27,Player,5,Player,Win,582.0,1
28,Player,5,Banker,Loss,577.0,1
29,Banker,10,Banker,Win,586.5,2
30,Player,5,Banker,Loss,581.5,1
31,Banker,10,Player,Loss,571.5,2
32,Player,20,Player,Win,591.5,3
33,Player,5,Player,Win,596.5,1
34,Player,5,Player,Win,601.5,1
35,Player,5,Banker,Loss,596.5,1
36,Banker,10,Banker,Win,606.0,2
37,Player,5,Player,Win,611.0,1
38,Player,5,Banker,Loss,606.0,1
39,Banker,10,Player,Loss,596.0,2
40,Player,20,Player,Win,616.0,3
41,Player,5,Tie,Push,616.0,1
42,Player,5,Banker,Loss,611.0,1
43,Banker,10,Banker,Win,620.5,2
44,Player,5,Banker,Loss,615.5,1
45,Banker,10,Player,Loss,605.5,2
46,Player,20,Player,Win,625.5,3
47,Player,5,Player,Win,630.5,1
48,Player,5,Player,Win,635.5,1
49,Player,5,Banker,Loss,630.5,1
50,Banker,10,Banker,Win,640.0,2
51,Player,5,Player,Win,645.0,1
52,Player,5,Player,Win,650.0,1
53,Player,5,Player,Win,655.0,1
54,Player,5,Player,Win,660.0,1
55,Player,5,Banker,Loss,655.0,1
56,Banker,10,Banker,Win,664.5,2
57,Player,5,Player,Win,669.5,1
58,Player,5,Banker,Loss,664.5,1
59,Banker,10,Banker,Win,674.0,2
60,Player,5,Banker,Loss,669.0,1
61,Banker,10,Banker,Win,678.5,2
