Hand,Bet Side,Bet Amount,Outcome,Result,Balance,Sequence Step
1,Player,15,Banker,Loss,485.0,1
2,Banker,30,Player,Loss,455.0,2
3,Player,60,Player,Win,515.0,3
4,Player,15,Banker,Loss,500.0,1
5,Banker,30,Player,Loss,470.0,2
6,Player,60,Banker,Loss,410.0,3
7,Player,120,Player,Win,530.0,4
8,Player,15,Player,Win,545.0,1
9,Player,15,Player,Win,560.0,1
10,Player,15,Banker,Loss,545.0,1
11,Banker,30,Player,Loss,515.0,2
12,Player,60,Banker,Loss,455.0,3
13,Player,120,Banker,Loss,335.0,4
14,Banker,240,Banker,Win,563.0,5
15,Player,15,Player,Win,578.0,1
16,Player,15,Player,Win,593.0,1
17,Player,15,Player,Win,608.0,1
18,Player,15,Player,Win,623.0,1
19,Player,15,Player,Win,638.0,1
20,Player,15,Banker,Loss,623.0,1
21,Banker,30,Tie,Push,623.0,2
22,Banker,30,Player,Loss,593.0,2
23,Player,60,Banker,Loss,533.0,3
24,Player,120,Player,Win,653.0,4
25,Player,15,Banker,Loss,638.0,1
26,Banker,30,Player,Loss,608.0,2
27,Player,60,Banker,Loss,548.0,3
28,Player,120,Player,Win,668.0,4
29,Player,15,Player,Win,683.0,1
30,Player,15,Player,Win,698.0,1
31,Player,15,Banker,Loss,683.0,1
32,Banker,30,Player,Loss,653.0,2
33,Player,60,Player,Win,713.0,3
34,Player,15,Player,Win,728.0,1
35,Player,15,Banker,Loss,713.0,1
36,Banker,30,Player,Loss,683.0,2
37,Player,60,Player,Win,743.0,3
38,Player,15,Banker,Loss,728.0,1
39,Banker,30,Banker,Win,756.5,2
40,Player,15,Tie,Push,756.5,1
41,Player,15,Banker,Loss,741.5,1
42,Banker,30,Banker,Win,770.0,2
43,Player,15,Player,Win,785.0,1
44,Player,15,Banker,Loss,770.0,1
45,Banker,30,Banker,Win,798.5,2
46,Player,15,Player,Win,813.5,1
47,Player,15,Player,Win,828.5,1
48,Player,15,Banker,Loss,813.5,1
49,Banker,30,Player,Loss,783.5,2
50,Player,60,Player,Win,843.5,3
51,Player,15,Tie,Push,843.5,1
52,Player,15,Player,Win,858.5,1
53,Player,15,Banker,Loss,843.5,1
54,Banker,30,Player,Loss,813.5,2
55,Player,60,Banker,Loss,753.5,3
56,Player,120,Tie,Push,753.5,4
57,Player,120,Player,Win,873.5,4
58,Player,15,Banker,Loss,858.5,1
59,Banker,30,Player,Loss,828.5,2
60,Player,60,Player,Win,888.5,3
