Hand,Bet Side,Bet Amount,Outcome,Result,Balance,Sequence Step
1,Player,5,Banker,Loss,995.0,1
2,Banker,10,Player,Loss,985.0,2
3,Player,20,Banker,Loss,965.0,3
4,Player,40,Banker,Loss,925.0,4
5,Banker,80,Player,Loss,845.0,5
6,Banker,160,Player,Loss,685.0,6
7,Player,5,Banker,Loss,680.0,1
8,Banker,10,Player,Loss,670.0,2
9,Player,20,Banker,Loss,650.0,3
10,Player,40,Tie,Push,650.0,4
11,Player,40,Tie,Push,650.0,4
12,Player,40,Player,Win,690.0,4
13,Player,5,Player,Win,695.0,1
14,Player,5,Banker,Loss,690.0,1
15,Banker,10,Banker,Win,699.5,2
16,Player,5,Banker,Loss,694.5,1
17,Banker,10,Player,Loss,684.5,2
18,Player,20,Player,Win,704.5,3
19,Player,5,Player,Win,709.5,1
20,Player,5,Banker,Loss,704.5,1
21,Banker,10,Banker,Win,714.0,2
22,Player,5,Tie,Push,714.0,1
23,Player,5,Banker,Loss,709.0,1
24,Banker,10,Banker,Win,718.5,2
25,Player,5,Banker,Loss,713.5,1
26,Banker,10,Player,Loss,703.5,2
27,Player,20,Banker,Loss,683.5,3
28,Player,40,Banker,Loss,643.5,4
29,Banker,80,Banker,Win,719.5,5
30,Player,5,Player,Win,724.5,1
31,Player,5,Player,Win,729.5,1
32,Player,5,Player,Win,734.5,1
33,Player,5,Banker,Loss,729.5,1
34,Banker,10,Player,Loss,719.5,2
35,Player,20,Banker,Loss,699.5,3
36,Player,40,Banker,Loss,659.5,4
37,Banker,80,Banker,Win,735.5,5
38,Player,5,Banker,Loss,730.5,1
39,Banker,10,Player,Loss,720.5,2
40,Player,20,Banker,Loss,700.5,3
41,Player,40,Banker,Loss,660.5,4
42,Banker,80,Player,Loss,580.5,5
43,Banker,160,Banker,Win,732.5,6
44,Player,5,Banker,Loss,727.5,1
45,Banker,10,Banker,Win,737.0,2
46,Player,5,Banker,Loss,732.0,1
47,Banker,10,Banker,Win,741.5,2
48,Player,5,Banker,Loss,736.5,1
49,Banker,10,Banker,Win,746.0,2
50,Player,5,Banker,Loss,741.0,1
51,Banker,10,Banker,Win,750.5,2
52,Player,5,Banker,Loss,745.5,1
53,Banker,10,Player,Loss,735.5,2
54,Player,20,Player,Win,755.5,3
55,Player,5,Tie,Push,755.5,1
56,Player,5,Banker,Loss,750.5,1
57,Banker,10,Banker,Win,760.0,2
58,Player,5,Player,Win,765.0,1
59,Player,5,Banker,Loss,760.0,1
60,Banker,10,Player,Loss,750.0,2
