Hand,Bet Side,Bet Amount,Outcome,Result,Balance,Sequence Step
1,Player,5,Banker,Loss,495.0,1
2,Banker,10,Player,Loss,485.0,2
3,Player,20,Player,Win,505.0,3
4,Player,5,Banker,Loss,500.0,1
5,Banker,10,Player,Loss,490.0,2
6,Player,20,Banker,Loss,470.0,3
7,Player,40,Player,Win,510.0,4
8,Player,5,Player,Win,515.0,1
9,Player,5,Player,Win,520.0,1
10,Player,5,Banker,Loss,515.0,1
11,Banker,10,Player,Loss,505.0,2
12,Player,20,Banker,Loss,485.0,3
13,Player,40,Banker,Loss,445.0,4
14,Banker,80,Banker,Win,521.0,5
15,Player,5,Player,Win,526.0,1
16,Player,5,Player,Win,531.0,1
17,Player,5,Player,Win,536.0,1
18,Player,5,Player,Win,541.0,1
19,Player,5,Player,Win,546.0,1
20,Player,5,Banker,Loss,541.0,1
21,Banker,10,Tie,Push,541.0,2
22,Banker,10,Player,Loss,531.0,2
23,Player,20,Banker,Loss,511.0,3
24,Player,40,Player,Win,551.0,4
25,Player,5,Banker,Loss,546.0,1
26,Banker,10,Player,Loss,536.0,2
27,Player,20,Banker,Loss,516.0,3
28,Player,40,Player,Win,556.0,4
29,Player,5,Player,Win,561.0,1
30,Player,5,Player,Win,566.0,1
31,Player,5,Banker,Loss,561.0,1
32,Banker,10,Player,Loss,551.0,2
33,Player,20,Player,Win,571.0,3
34,Player,5,Player,Win,576.0,1
35,Player,5,Banker,Loss,571.0,1
36,Banker,10,Player,Loss,561.0,2
37,Player,20,Player,Win,581.0,3
38,Player,5,Banker,Loss,576.0,1
39,Banker,10,Banker,Win,585.5,2
40,Player,5,Tie,Push,585.5,1
41,Player,5,Banker,Loss,580.5,1
42,Banker,10,Banker,Win,590.0,2
43,Player,5,Player,Win,595.0,1
44,Player,5,Banker,Loss,590.0,1
45,Banker,10,Banker,Win,599.5,2
46,Player,5,Player,Win,604.5,1
47,Player,5,Player,Win,609.5,1
48,Player,5,Banker,Loss,604.5,1
49,Banker,10,Player,Loss,594.5,2
50,Player,20,Player,Win,614.5,3
51,Player,5,Tie,Push,614.5,1
52,Player,5,Player,Win,619.5,1
53,Player,5,Banker,Loss,614.5,1
54,Banker,10,Player,Loss,604.5,2
55,Player,20,Banker,Loss,584.5,3
56,Player,40,Tie,Push,584.5,4
57,Player,40,Player,Win,624.5,4
58,Player,5,Banker,Loss,619.5,1
59,Banker,10,Player,Loss,609.5,2
60,Player,20,Player,Win,629.5,3
