Hand,Bet Side,Bet Amount,Outcome,Result,Balance,Sequence Step
1,Player,25,Banker,Loss,975.0,1
2,Banker,50,Banker,Win,1022.5,2
3,Player,25,Player,Win,1047.5,1
4,Player,25,Player,Win,1072.5,1
5,Player,25,Player,Win,1097.5,1
6,Player,25,Player,Win,1122.5,1
7,Player,25,Banker,Loss,1097.5,1
8,Banker,50,Banker,Win,1145.0,2
9,Player,25,Player,Win,1170.0,1
10,Player,25,Player,Win,1195.0,1
11,Player,25,Player,Win,1220.0,1
12,Player,25,Banker,Loss,1195.0,1
13,Banker,50,Banker,Win,1242.5,2
14,Player,25,Player,Win,1267.5,1
15,Player,25,Banker,Loss,1242.5,1
16,Banker,50,Tie,Push,1242.5,2
17,Banker,50,Banker,Win,1290.0,2
18,Player,25,Banker,Loss,1265.0,1
19,Banker,50,Player,Loss,1215.0,2
20,Player,100,Player,Win,1315.0,3
21,Player,25,Banker,Loss,1290.0,1
22,Banker,50,Banker,Win,1337.5,2
23,Player,25,Tie,Push,1337.5,1
24,Player,25,Player,Win,1362.5,1
25,Player,25,Banker,Loss,1337.5,1
26,Banker,50,Banker,Win,1385.0,2
27,Player,25,Player,Win,1410.0,1
28,Player,25,Banker,Loss,1385.0,1
29,Banker,50,Banker,Win,1432.5,2
30,Player,25,Banker,Loss,1407.5,1
31,Banker,50,Player,Loss,1357.5,2
32,Player,100,Player,Win,1457.5,3
33,Player,25,Player,Win,1482.5,1
34,Player,25,Player,Win,1507.5,1
35,Player,25,Banker,Loss,1482.5,1
36,Banker,50,Banker,Win,1530.0,2
37,Player,25,Player,Win,1555.0,1
38,Player,25,Banker,Loss,1530.0,1
39,Banker,50,Player,Loss,1480.0,2
40,Player,100,Player,Win,1580.0,3
41,Player,25,Tie,Push,1580.0,1
42,Player,25,Banker,Loss,1555.0,1
43,Banker,50,Banker,Win,1602.5,2
44,Player,25,Banker,Loss,1577.5,1
45,Banker,50,Player,Loss,1527.5,2
46,Player,100,Player,Win,1627.5,3
47,Player,25,Player,Win,1652.5,1
48,Player,25,Player,Win,1677.5,1
49,Player,25,Banker,Loss,1652.5,1
50,Banker,50,Banker,Win,1700.0,2
51,Player,25,Player,Win,1725.0,1
52,Player,25,Player,Win,1750.0,1
53,Player,25,Player,Win,1775.0,1
54,Player,25,Player,Win,1800.0,1
55,Player,25,Banker,Loss,1775.0,1
56,Banker,50,Banker,Win,1822.5,2
57,Player,25,Player,Win,1847.5,1
58,Player,25,Banker,Loss,1822.5,1
59,Banker,50,Banker,Win,1870.0,2
60,Player,25,Banker,Loss,1845.0,1
61,Banker,50,Banker,Win,1892.5,2
