Hand,Bet Side,Bet Amount,Outcome,Result,Balance,Sequence Step
1,Player,10,Banker,Loss,490.0,1
2,Banker,20,Player,Loss,470.0,2
3,Player,40,Player,Win,510.0,3
4,Player,10,Banker,Loss,500.0,1
5,Banker,20,Player,Loss,480.0,2
6,Player,40,Banker,Loss,440.0,3
7,Player,80,Player,Win,520.0,4
8,Player,10,Player,Win,530.0,1
9,Player,10,Player,Win,540.0,1
10,Player,10,Banker,Loss,530.0,1
11,Banker,20,Player,Loss,510.0,2
12,Player,40,Banker,Loss,470.0,3
13,Player,80,Banker,Loss,390.0,4
14,Banker,160,Banker,Win,542.0,5
15,Player,10,Player,Win,552.0,1
16,Player,10,Player,Win,562.0,1
17,Player,10,Player,Win,572.0,1
18,Player,10,Player,Win,582.0,1
19,Player,10,Player,Win,592.0,1
20,Player,10,Banker,Loss,582.0,1
21,Banker,20,Tie,Push,582.0,2
22,Banker,20,Player,Loss,562.0,2
23,Player,40,Banker,Loss,522.0,3
24,Player,80,Player,Win,602.0,4
25,Player,10,Banker,Loss,592.0,1
26,Banker,20,Player,Loss,572.0,2
27,Player,40,Banker,Loss,532.0,3
28,Player,80,Player,Win,612.0,4
29,Player,10,Player,Win,622.0,1
30,Player,10,Player,Win,632.0,1
31,Player,10,Banker,Loss,622.0,1
32,Banker,20,Player,Loss,602.0,2
33,Player,40,Player,Win,642.0,3
34,Player,10,Player,Win,652.0,1
35,Player,10,Banker,Loss,642.0,1
36,Banker,20,Player,Loss,622.0,2
37,Player,40,Player,Win,662.0,3
38,Player,10,Banker,Loss,652.0,1
39,Banker,20,Banker,Win,671.0,2
40,Player,10,Tie,Push,671.0,1
41,Player,10,Banker,Loss,661.0,1
42,Banker,20,Banker,Win,680.0,2
43,Player,10,Player,Win,690.0,1
44,Player,10,Banker,Loss,680.0,1
45,Banker,20,Banker,Win,699.0,2
46,Player,10,Player,Win,709.0,1
47,Player,10,Player,Win,719.0,1
48,Player,10,Banker,Loss,709.0,1
49,Banker,20,Player,Loss,689.0,2
50,Player,40,Player,Win,729.0,3
51,Player,10,Tie,Push,729.0,1
52,Player,10,Player,Win,739.0,1
53,Player,10,Banker,Loss,729.0,1
54,Banker,20,Player,Loss,709.0,2
55,Player,40,Banker,Loss,669.0,3
56,Player,80,Tie,Push,669.0,4
57,Player,80,Player,Win,749.0,4
58,Player,10,Banker,Loss,739.0,1
59,Banker,20,Player,Loss,719.0,2
60,Player,40,Player,Win,759.0,3
