Hand,Bet Side,Bet Amount,Outcome,Result,Balance,Sequence Step
1,Player,10,Banker,Loss,990.0,1
2,Banker,20,Player,Loss,970.0,2
3,Player,40,Banker,Loss,930.0,3
4,Player,80,Banker,Loss,850.0,4
5,Banker,160,Player,Loss,690.0,5
6,Banker,320,Player,Loss,370.0,6
7,Player,10,Banker,Loss,360.0,1
8,Banker,20,Player,Loss,340.0,2
9,Player,40,Banker,Loss,300.0,3
10,Player,80,Tie,Push,300.0,4
11,Player,80,Tie,Push,300.0,4
12,Player,80,Player,Win,380.0,4
13,Player,10,Player,Win,390.0,1
14,Player,10,Banker,Loss,380.0,1
15,Banker,20,Banker,Win,399.0,2
16,Player,10,Banker,Loss,389.0,1
17,Banker,20,Player,Loss,369.0,2
18,Player,40,Player,Win,409.0,3
19,Player,10,Player,Win,419.0,1
20,Player,10,Banker,Loss,409.0,1
21,Banker,20,Banker,Win,428.0,2
22,Player,10,Tie,Push,428.0,1
23,Player,10,Banker,Loss,418.0,1
24,Banker,20,Banker,Win,437.0,2
25,Player,10,Banker,Loss,427.0,1
26,Banker,20,Player,Loss,407.0,2
27,Player,40,Banker,Loss,367.0,3
28,Player,80,Banker,Loss,287.0,4
29,Banker,160,Banker,Win,439.0,5
30,Player,10,Player,Win,449.0,1
31,Player,10,Player,Win,459.0,1
32,Player,10,Player,Win,469.0,1
33,Player,10,Banker,Loss,459.0,1
34,Banker,20,Player,Loss,439.0,2
35,Player,40,Banker,Loss,399.0,3
36,Player,80,Banker,Loss,319.0,4
37,Banker,160,Banker,Win,471.0,5
38,Player,10,Banker,Loss,461.0,1
39,Banker,20,Player,Loss,441.0,2
40,Player,40,Banker,Loss,401.0,3
41,Player,80,Banker,Loss,321.0,4
42,Banker,160,Player,Loss,161.0,5
