Hand,Bet Side,Bet Amount,Outcome,Result,Balance,Sequence Step
1,Player,50,Banker,Loss,950.0,1
2,Banker,100,Banker,Win,1045.0,2
3,Player,50,Player,Win,1095.0,1
4,Player,50,Player,Win,1145.0,1
5,Player,50,Player,Win,1195.0,1
6,Player,50,Player,Win,1245.0,1
7,Player,50,Banker,Loss,1195.0,1
8,Banker,100,Banker,Win,1290.0,2
9,Player,50,Player,Win,1340.0,1
10,Player,50,Player,Win,1390.0,1
11,Player,50,Player,Win,1440.0,1
12,Player,50,Banker,Loss,1390.0,1
13,Banker,100,Banker,Win,1485.0,2
14,Player,50,Player,Win,1535.0,1
15,Player,50,Banker,Loss,1485.0,1
16,Banker,100,Tie,Push,1485.0,2
17,Banker,100,Banker,Win,1580.0,2
18,Player,50,Banker,Loss,1530.0,1
19,Banker,100,Player,Loss,1430.0,2
20,Player,200,Player,Win,1630.0,3
21,Player,50,Banker,Loss,1580.0,1
22,Banker,100,Banker,Win,1675.0,2
23,Player,50,Tie,Push,1675.0,1
24,Player,50,Player,Win,1725.0,1
25,Player,50,Banker,Loss,1675.0,1
26,Banker,100,Banker,Win,1770.0,2
27,Player,50,Player,Win,1820.0,1
28,Player,50,Banker,Loss,1770.0,1
29,Banker,100,Banker,Win,1865.0,2
30,Player,50,Banker,Loss,1815.0,1
31,Banker,100,Player,Loss,1715.0,2
32,Player,200,Player,Win,1915.0,3
33,Player,50,Player,Win,1965.0,1
34,Player,50,Player,Win,2015.0,1
35,Player,50,Banker,Loss,1965.0,1
36,Banker,100,Banker,Win,2060.0,2
37,Player,50,Player,Win,2110.0,1
38,Player,50,Banker,Loss,2060.0,1
39,Banker,100,Player,Loss,1960.0,2
40,Player,200,Player,Win,2160.0,3
41,Player,50,Tie,Push,2160.0,1
42,Player,50,Banker,Loss,2110.0,1
43,Banker,100,Banker,Win,2205.0,2
44,Player,50,Banker,Loss,2155.0,1
45,Banker,100,Player,Loss,2055.0,2
46,Player,200,Player,Win,2255.0,3
47,Player,50,Player,Win,2305.0,1
48,Player,50,Player,Win,2355.0,1
49,Player,50,Banker,Loss,2305.0,1
50,Banker,100,Banker,Win,2400.0,2
51,Player,50,Player,Win,2450.0,1
52,Player,50,Player,Win,2500.0,1
53,Player,50,Player,Win,2550.0,1
54,Player,50,Player,Win,2600.0,1
55,Player,50,Banker,Loss,2550.0,1
56,Banker,100,Banker,Win,2645.0,2
57,Player,50,Player,Win,2695.0,1
58,Player,50,Banker,Loss,2645.0,1
59,Banker,100,Banker,Win,2740.0,2
60,Player,50,Banker,Loss,2690.0,1
61,Banker,100,Banker,Win,2785.0,2
